,lat,lon,arome_t2m,temp_air,temp_surf,temp_snow_ice,temp_ice,sic,residuals,hour,doy,NN_temp,FNN_temp,xgb_temp,xgbdo_temp,xgbpo_temp
2025-06-10 07:00:00,80.34868495,2.8939950000000003,-0.031463623046875,1.28125,6.545,0.28125,-1.40625,0.7989649176597595,1.312713623046875,7,161,0.40526121854782104,0.8866672515869141,1.325679063796997,0.791114866733551,0.6718069911003113
2025-06-10 08:00:00,80.3477852,2.886125,0.01715087890625,0.6875,5.555,0.15625,-1.375,0.7989649176597595,0.67034912109375,8,161,0.5399585962295532,1.0138989686965942,0.923823893070221,0.839729368686676,0.6237872838973999
2025-06-10 09:00:00,80.34676015,2.88166665,0.217620849609375,0.71875,4.46,0.0625,-1.34375,0.7989649176597595,0.501129150390625,9,161,0.9666379690170288,1.1273376941680908,1.0297261476516724,1.040199339389801,0.866897463798523
2025-06-10 10:00:00,80.3454276,2.87936445,0.331085205078125,0.71875,4.07,0.0625,-1.3125,0.7989649176597595,0.387664794921875,10,161,1.2437504529953003,1.1990389823913574,1.1015862226486206,1.153663694858551,0.8964236974716187
2025-06-10 11:00:00,80.3437908,2.87792695,0.371368408203125,0.90625,4.705,0.125,-1.28125,0.7989649176597595,0.534881591796875,11,161,1.3942327499389648,1.1925429105758667,1.1651692986488342,1.193946897983551,0.9345113635063171
2025-06-10 12:00:00,80.34184815,2.8769147,0.3460693359375,0.90625,4.615,0.21875,-1.25,0.7989649176597595,0.5601806640625,12,161,1.3845493793487549,1.1749494075775146,1.1858419179916382,1.168647825717926,0.9114078283309937
2025-06-10 13:00:00,80.33943735,2.87476095,0.39849853515625,0.875,4.505000000000001,0.28125,-1.25,0.7989649176597595,0.47650146484375,13,161,1.515190601348877,1.1596013903617859,1.3423330783843994,1.221077024936676,0.948658287525177
2025-06-10 14:00:00,80.33643380000001,2.87118025,0.337921142578125,0.8125,4.390000000000001,0.40625,-1.1875,0.7989649176597595,0.474578857421875,14,161,1.4174610376358032,1.1305238008499146,1.4904154539108276,1.160499632358551,0.9032596349716187
2025-06-10 15:00:00,80.33295635,2.86728885,0.359375,0.96875,4.745,0.40625,-1.21875,0.7989649176597595,0.609375,15,161,1.4469199180603027,1.1189020872116089,1.5086758136749268,1.181953489780426,0.9225179553031921
2025-06-10 16:00:00,80.32914255,2.86184665,0.4520263671875,0.9375,5.375,0.40625,-1.1875,0.7995609641075134,0.4854736328125,16,161,1.548007845878601,1.1584548950195312,1.4352142214775085,1.274604856967926,0.9788874983787537
2025-06-10 17:00:00,80.32527895000001,2.8538451,0.138885498046875,0.78125,4.15,0.40625,-1.21875,0.7947925925254822,0.642364501953125,17,161,0.8462872505187988,1.0783164501190186,1.268033742904663,0.961463987827301,0.958698034286499
2025-06-10 18:00:00,80.32185145,2.84448765,0.12884521484375,0.78125,3.46,0.25,-1.3125,0.7947925925254822,0.65240478515625,18,161,0.7441840171813965,1.1243606805801392,1.2190390825271606,0.951423704624176,0.9724801182746887
2025-06-10 19:00:00,80.31898385,2.83526245,0.28057861328125,0.84375,3.67,0.21875,-1.3125,0.7947925925254822,0.56317138671875,19,161,0.9367538690567017,1.1683170199394226,1.1130529046058655,1.103157103061676,1.1203603744506836
2025-06-10 20:00:00,80.31683330000001,2.8281896,0.138214111328125,0.59375,2.8,0.1875,-1.3125,0.7947925925254822,0.455535888671875,20,161,0.5703917741775513,1.117200255393982,1.018852174282074,0.960792601108551,0.958026647567749
2025-06-10 21:00:00,80.3154766,2.8255229,0.034942626953125,0.34375,2.21,0.1875,-1.375,0.7947925925254822,0.308807373046875,21,161,0.28178393840789795,0.6681045293807983,0.5148581266403198,0.857521116733551,0.8318774104118347
2025-06-10 22:00:00,80.3149166,2.82727105,-0.01348876953125,0.25,2.125,0.1875,-1.34375,0.7947925925254822,0.26348876953125,22,161,0.1502717137336731,0.33207598328590393,0.44030991196632385,0.809089720249176,0.8277150392532349
2025-06-10 23:00:00,80.3150674,2.8330786,-0.104400634765625,0.21875,1.955,0.15625,-1.34375,0.7947925925254822,0.323150634765625,23,161,-0.05363506078720093,-0.06392801180481911,0.26360195875167847,0.718177855014801,0.6192551851272583
2025-06-11 00:00:00,80.31560825,2.8407309,-0.0142822265625,0.28125,1.855,0.15625,-1.3125,0.8558225631713867,0.2955322265625,0,162,-0.12655052542686462,0.01624678447842598,0.37617021799087524,0.577584445476532,0.48076575994491577
2025-06-11 01:00:00,80.3162896,2.84910715,0.0345458984375,0.21875,1.565,0.15625,-1.3125,0.8558225631713867,0.1842041015625,1,162,-0.05503004789352417,0.10304781794548035,0.39435791969299316,0.626412570476532,0.3491966724395752
2025-06-11 02:00:00,80.31637169999999,2.8569816,0.0357666015625,0.09375,1.525,0.1875,-1.28125,0.8558225631713867,0.0579833984375,2,162,-0.03917601704597473,0.1260278970003128,0.3159833252429962,0.627633273601532,0.3504173755645752
2025-06-11 03:00:00,80.3157956,2.8622289,0.1077880859375,0.0,1.465,0.21875,-1.25,0.8558225631713867,-0.1077880859375,3,162,0.16216474771499634,0.322754368185997,0.24904799461364746,0.699654757976532,0.4854985773563385
2025-06-11 04:00:00,80.31448875,2.8621259,0.092559814453125,0.03125,1.71,0.25,-1.21875,0.8558225631713867,-0.061309814453125,4,162,0.2133573293685913,0.31976763904094696,0.2542787939310074,0.684426486492157,0.4702703058719635
2025-06-11 05:00:00,80.31257790000001,2.8566106,0.02178955078125,-0.0625,1.595,0.21875,-1.21875,0.8558225631713867,-0.08428955078125,5,162,0.15689831972122192,0.20758482813835144,0.337140291929245,0.613656222820282,0.4046805799007416
2025-06-11 06:00:00,80.31023845,2.84385325,0.064056396484375,-0.03125,1.885,0.34375,-1.125,0.8558225631713867,-0.095306396484375,6,162,0.3385993242263794,0.32781070470809937,0.41638997197151184,0.655923068523407,0.3787071704864502
2025-06-11 07:00:00,80.30768130000001,2.8254651,0.0384521484375,0.25,2.51,0.375,-1.125,0.8558225631713867,0.2115478515625,7,162,0.3881251811981201,0.32773205637931824,0.4945591688156128,0.630318820476532,0.3531029224395752
